,model_name,architecture,>=0.6,>=0.9,>=1,correct_prediction,layer_sizes,dropouts,learning_rate,batch_size
0,SLF2_no_norm_tuned_15_100,SLF2_no_norm_tuned,16.9560634638855,11.971596582713858,10.953622545212472,10.451569954510152,"[1000, 2000, 3000]",0,0.0001,200
1,SLF2_nonaromatic_tuned_45_100,SLF2_nonaromatic_tuned,43.94797245600613,35.378729915837795,33.35118592195868,31.97398622800306,"[1000, 2000, 3000]",0,0.0001,200
2,SLF2_tuned_49_100,SLF2_tuned,9.489071341395762,5.47542438699656,4.67657827582381,4.321535559747032,"[2000, 3000]",0,0.001,50
3,SLF2_NA_CHO_0_1_tuned_13_100,SLF2_NA_CHO_0_1_tuned,60.0,48.952380952380956,47.42857142857143,43.761904761904766,"[1000, 2000, 3000]",0,0.0001,100
4,SLF2_NA_CHO2_tuned_13_100,SLF2_NA_CHO2_tuned,42.67801164352888,37.12494402149575,35.15450067174205,33.13927451858486,"[1000, 2000, 3000]",0,0.0001,100
5,SLF2_NA_CHN1_tuned_14_100,SLF2_NA_CHN1_tuned,36.00682593856656,29.180887372013654,26.450511945392492,25.085324232081913,"[1000, 2000, 3000]",0,0.001,100
6,SLF2_CHO1_NO_AROMATIC_tuned_18_100,SLF2_CHO1_NO_AROMATIC_tuned,63.35559265442404,55.25876460767947,54.173622704507515,52.42070116861436,"[2000, 3000]",0,0.001,100
7,SLF2_aromatic_tuned_15_100,SLF2_aromatic_tuned,7.727450724448505,5.8260453378584165,5.438802593221077,5.386590088326154,"[1000, 2000, 3000]",0,0.0001,200
8,SLF2_NA_CHS1_tuned_5_100,SLF2_NA_CHS1_tuned,41.45077720207254,36.787564766839374,36.26943005181347,34.715025906735754,"[3000, 2000]",0,0.0001,100
9,SLF2_NA_CHONS_0_3_tuned_13_100,SLF2_NA_CHONS_0_3_tuned,52.98112182534294,45.97310878717914,44.289012630721174,42.50984652994703,"[1000, 2000, 3000]",0,0.0001,100
10,SLF2_NA_CHONS_0_1_tuned_13_100,SLF2_NA_CHONS_0_1_tuned,58.06451612903226,47.50733137829912,45.193874226132294,42.619745845552295,"[1000, 2000, 3000]",0,0.0001,100
